names,edges,distance,weighting
"('Fress', 'HOME')","(14, 22)",0.047167909695625884,0.85
"('Fress', 'Rogue Artists’ Studios')","(14, 23)",0.16416621072940363,1.0
"('Fress', 'Salford Museum and Art Gallery')","(14, 24)",0.1492786592564863,1.0
"('Fress', 'The Lowry')","(14, 25)",0.13620525815647766,1.0
"('Fress', 'The Whitworth')","(14, 26)",0.07780689377141706,1.0
"('Fress', 'Islington Mill')","(14, 27)",0.0705502922797823,1.0
"('Fress', 'Holden Gallery')","(14, 28)",0.05808160797074322,1.0
"('Fress', 'Castlefield Gallery')","(14, 29)",0.05356063005730412,1.0
"('Fress', 'Gallery Oldham')","(14, 30)",0.37002908399804185,1.0
"('Fress', 'Factory International')","(14, 31)",0.06090361966193452,0.85
"('Fress', 'Pottery Corner')","(14, 32)",0.21078699570939038,0.85
"('Fress', 'Seven Limes Pottery')","(14, 33)",0.10300342672848216,1.0
"('Fress', 'Clay Studio')","(14, 34)",0.08255823998617791,1.0
"('Fress', 'Boom Battle Bar')","(14, 35)",0.016672905808160797,1.0
"('Fress', 'Virtual Hideout')","(14, 36)",0.008725199412560832,1.0
"('Fress', 'DNA VR')","(14, 37)",0.02156823221124773,1.0
"('Fress', 'Sken Studios')","(14, 38)",0.31145794338698995,1.0
"('Fress', 'Cork and Canvas')","(14, 39)",0.02024361447864774,1.0
